,title,popularity,vote_count,id,vote_average,release_date,genre_ids
8,Sky Captain and the World of Tomorrow,15.945,766,5137,5.8,2004-09-17,"[28, 12, 9648, 878, 53]"
9,Aliens in the Attic,12.21,621,20856,5.5,2009-07-31,"[12, 35, 14, 878, 10751]"
10,Dragonball Evolution,13.546,1157,14164,2.6,2009-03-12,"[28, 12, 14, 878, 53]"
11,The Mist,23.212,2934,5876,6.8,2007-11-21,"[27, 878, 53]"
12,Elektra,19.493,1390,9947,4.8,2005-01-13,"[28, 14, 878]"
13,Doom,20.912,1251,8814,5.0,2005-10-20,"[28, 27, 878]"
14,Downsizing,14.114,2326,301337,5.1,2017-12-22,"[35, 18, 878]"
15,Pitch Black,11.912,2936,2787,6.8,2000-02-18,"[28, 878, 53]"
16,Æon Flux,21.863000000000003,1294,8202,5.5,2005-11-30,"[28, 878]"
17,Daybreakers,16.892,1144,19901,6.2,2009-09-11,"[28, 14, 27, 878]"
18,Meet Dave,11.365,869,11260,5.2,2008-07-08,"[12, 35, 878, 10751]"
19,K-PAX,17.519000000000002,1365,167,7.2,2001-10-22,"[18, 878]"
0,9,19.881,2239,12244,6.8,2009-08-19,"[28, 12, 16, 878, 53]"
1,The Fourth Kind,13.628,910,22824,6.0,2009-11-06,"[9648, 878, 53]"
2,Her,31.333000000000002,9386,152601,7.9,2013-12-18,"[10749, 878, 18]"
3,Fantasy Island,27.441999999999997,183,539537,5.1,2020-02-12,"[14, 27, 878]"
4,Looper,16.962,7382,59967,6.8,2012-09-26,"[28, 53, 878]"
5,Land of the Dead,14.107999999999999,801,11683,6.0,2005-06-24,"[27, 878]"
6,The World's End,23.738000000000003,3457,107985,6.7,2013-07-18,"[28, 35, 878]"
7,Push,19.625999999999998,1389,13455,6.0,2009-02-04,"[28, 878]"
8,Earth to Echo,7.914,410,238603,5.7,2014-06-14,"[10751, 12, 878]"
9,Red Dawn,11.151,951,60747,5.5,2012-11-21,"[28, 878, 53, 10752]"
10,Hellboy,23.476999999999997,1722,456740,5.3,2019-04-10,"[28, 12, 14, 878]"
11,Recess: School's Out,11.040999999999999,181,19405,6.4,2001-01-27,"[16, 35, 878, 10751]"
12,Timeline,12.786,616,9562,5.6,2003-11-26,"[28, 12, 878]"
13,Annihilation,34.364000000000004,5398,300668,6.3,2018-02-22,"[27, 878]"
14,Aliens vs Predator: Requiem,24.823,1519,440,4.9,2007-12-25,"[28, 14, 27, 878, 53]"
15,Overlord,20.932,1501,438799,6.6,2018-11-01,"[27, 878, 10752]"
16,The Darkest Minds,16.197,1544,445651,6.8,2018-07-25,[878]
17,Dredd,23.84800000000001,3192,49049,6.7,2012-09-07,"[28, 878]"
18,Quarantine,13.663,756,13812,5.7,2008-10-10,"[27, 878]"
19,Gamer,17.204,1433,18501,5.7,2009-09-03,"[28, 878, 53]"
0,The Spirit,12.086,638,8285,4.7,2008-12-25,"[28, 35, 80, 878, 53]"
1,Serenity,22.638,2206,16320,7.4,2005-09-03,"[28, 12, 878, 53]"
2,Clockstoppers,11.107,156,15028,5.1,2002-03-17,"[12, 878, 53, 10751]"
3,Ex Machina,35.125,9037,264660,7.6,2015-01-16,"[18, 878]"
4,Titan A.E.,13.689,583,7450,6.5,2000-06-16,"[28, 12, 16, 878, 10751]"
5,Victor Frankenstein,17.729,1360,228066,5.8,2015-11-10,"[18, 878, 53]"
6,Underwater,91.064,684,443791,6.5,2020-01-08,"[28, 27, 878, 53]"
7,Red Planet,12.599,547,8870,5.5,2000-11-10,"[28, 878, 53]"
8,The Box,12.505,1138,22825,5.5,2009-09-17,"[53, 878]"
9,Project Almanac,11.537,1618,227719,6.5,2015-01-28,"[878, 53]"
10,Lockout,15.533,1151,81796,5.9,2012-04-12,"[28, 878, 53]"
11,Brightburn,24.374,1409,531309,5.9,2019-05-09,"[27, 878, 53]"
12,Sunshine,23.118,2228,1272,7.0,2007-04-05,"[878, 53]"
13,Ultraviolet,14.214,874,9920,5.0,2006-03-03,"[28, 878, 53]"
14,Self/less,27.387,2057,238615,6.3,2015-07-10,"[9648, 878, 53]"
15,Godsend,8.339,268,11058,5.0,2004-04-30,"[18, 27, 878, 53]"
16,Solaris,10.228,752,2103,6.0,2002-11-27,"[18, 9648, 878, 10749]"
17,Yu-Gi-Oh! The Movie,12.067,165,11052,5.7,2004-08-13,"[28, 12, 16, 35, 14, 878, 53, 10751]"
18,Teen Titans Go! To the Movies,17.729,505,474395,7.2,2018-07-27,"[28, 16, 35, 878]"
19,Thunderbirds,11.161,178,14623,4.7,2004-07-23,"[28, 12, 35, 14, 878, 10751]"
